period,time,speedup
20.0,898.52,0.13861514442805747
10.0,227.92,0.08001067183408106
6.666666666666667,115.78,0.05806652222757182
5.0,73.46,0.06153047207424531
4.0,52.58,0.06372406437851463
3.3333333333333335,45.3,0.08078034166696386
2.857142857142857,43.5,0.11189422780121412
2.5,42.48,0.16411682892906815
2.2222222222222223,36.06,0.21995852141027206
2.0,41.22,0.4184771573604061
1.8181818181818181,41.18,1.0425316455696203
1.6666666666666667,40.98,2.1255186721991697
1.5384615384615383,40.72,2.6069142125480154
1.4285714285714286,40.46,2.9234104046242777
1.3333333333333333,40.4,3.306055646481178
1.25,40.42,3.667876588021779
1.1764705882352942,40.34,3.9549019607843143
1.1111111111111112,40.26,4.273885350318471
1.0526315789473684,40.16,4.542986425339366
1.0,39.2,4.711538461538462
